Incident.day	Incident.month	Incident.year	Latitude	Longitude	Shark.common.name	Shark.scientific.name	Provoked.unprovoked	Victim.activity	Injury.location	Injury.description	Injury.severity\xca	Victim.gender	Victim.age	Time.of.incident
1	2	1876	-10.25	142.1166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	torso		major lacerations	male		
6	2	1876	-37.85	144.95	white shark	Carcharodon carcharias	unprovoked	swimming	"leg, pelvic region"		major lacerations	male	18	0600
6	7	1876	-33.85	151.2	whaler shark	Carcharhinidae	provoked	diving	other: uninjured			male		
1	12	1876	-32.76666667	151.7	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male		
28	1	1877	-37.83333333	144.9333333	white shark	Carcharodon carcharias	unprovoked	swimming			major lacerations	male	30	
20	1	1877	-38.38333333	142.4833333	white shark	Carcharodon carcharias	unprovoked	swimming	foot		minor lacerations	female		
21	3	1877	-38.1	144.65	white shark	Carcharodon carcharias	unprovoked	swimming	"thigh, foot"		major lacerations	male		
15	12	1877	-33.86666667	151.2	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male	12	
1	12	1877	-34.73333333	138.0333333			provoked	swimming	leg		minor lacerations	male		
1	1	1878	-9.633333333	142.6833333	tiger shark	Galeocerdo cuvier	provoked	snorkelling			major lacerations	male		
2	3	1878	-38.38333333	142.5	whaler shark	Carcharhinidae	unprovoked	swimming	torso		minor lacerations	male		
23	7	1878	-25.8	153.05	bull shark	Carcharhinus leucas	provoked	fishing	calf		major lacerations	male		
14	11	1878	-33.85	151.15	wobbegong	Orectolobidae	unprovoked	swimming			minor lacerations	male		
19	6	1879	-33.86666667	151.2	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male		
10	11	1879	-29.4	153.3333333	white shark	Carcharodon carcharias	unprovoked	swimming	thigh		major lacerations	male	15	
1	1	1880	-16.9	145.9833333	tiger shark	Galeocerdo cuvier	unprovoked	swimming	other: body not recovered			male		
4	1	1880	-33.08333333	151.5	bull shark	Carcharhinus leucas	unprovoked	swimming	foot		major lacerations	female	13	1700
7	1	1880	-27.51666667	152.9	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		minor lacerations	male	22	
25	11	1880	-27.46666667	153.0333333	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male	15	1700
19	1	1881	-31.06666667	152.6333333	bull shark	Carcharhinus leucas	unprovoked	swimming	other: uninjured			female		
1	1	1881	-25.25	152.85	tiger shark	Galeocerdo cuvier	unprovoked		foot		major lacerations	female	16	
10	8	1881	-20	148.8	tiger shark	Galeocerdo cuvier	provoked	spearfishing	leg		minor lacerations	male		
13	11	1881	-33.86666667	151.2333333	bull shark	Carcharhinus leucas	unprovoked	swimming	other: body not recovered			male		
4	12	1881	-24.83333333	152.1166667	bull shark	Carcharhinus leucas	unprovoked	swimming	arm		major lacerations	male		
1	1	1882	-17.98333333	122.2333333	tiger shark	Galeocerdo cuvier	provoked	snorkelling				male		
15	4	1882	-33.08333333	151.65	white shark	Carcharodon carcharias	unprovoked		torso			male		
15	5	1882	-33.85	151.2	wobbegong	Orectolobidae	unprovoked	swimming	calf		minor lacerations	male		
1	5	1882	-15.88333333	122	tiger shark	Galeocerdo cuvier	provoked	snorkelling	torso		major lacerations	male		
1	12	1882	-17.98333333	122.2333333	tiger shark	Galeocerdo cuvier	provoked	snorkelling				male		
23	1	1883	-33.85	151.15	bull shark	Carcharhinus leucas	unprovoked	swimming	torso		major lacerations	male	37	
19	12	1883	-33.86666667	151.2	bull shark	Carcharhinus leucas	unprovoked	swimming	torso		major lacerations	male	21	
22	12	1883	-33.8	151.2833333	bull shark	Carcharhinus leucas	provoked	swimming	other: uninjured			male		
14	1	1884	-33.18333333	137.9833333	white shark	Carcharodon carcharias	unprovoked	swimming	other: body not recovered			female	16	
2	10	1885	-33.81666667	151.05	bull shark	Carcharhinus leucas	unprovoked	swimming	other: uninjured			female		
26	11	1885	-33.31666667	115.6333333	white shark	Carcharodon carcharias	unprovoked	swimming	calf		major lacerations	male		
25	1	1886	-25.53333333	152.7	bull shark	Carcharhinus leucas	unprovoked	swimming	other: uninjured			male		
26	4	1886	-23.38333333	150.6333333	bull shark	Carcharhinus leucas	unprovoked	swimming	"arm, hand"		minor lacerations	male		
