Incident.year,Recovery.status,Provoked.unprovoked,Victim.activity
2001,uninjured,unprovoked,unmotorised boating
2001,injured,unprovoked,boarding
2001,injured,unprovoked,snorkelling
2001,injured,unprovoked,boarding
2001,injured,provoked,snorkelling
2001,injured,unprovoked,boarding
2001,uninjured,unprovoked,unmotorised boating
2001,injured,provoked,snorkelling
2001,injured,unprovoked,boarding
2001,injured,unprovoked,swimming
2001,uninjured,unprovoked,boarding
2001,uninjured,provoked,spearfishing
2002,injured,unprovoked,swimming
2002,injured,unprovoked,boarding
2002,injured,unprovoked,boarding
2002,uninjured,unprovoked,unmotorised boating
2002,uninjured,provoked,spearfishing
2002,fatal,provoked,diving
2002,injured,unprovoked,swimming
2002,uninjured,unprovoked,boarding
2002,injured,provoked,snorkelling
2002,injured,unprovoked,diving
2002,fatal,unprovoked,swimming
2003,injured,unprovoked,swimming
2003,uninjured,unprovoked,boarding
2003,injured,unprovoked,other: standing in water
2003,fatal,unprovoked,swimming
2003,injured,unprovoked,boarding
2003,injured,provoked,diving
2003,uninjured,unprovoked,unmotorised boating
2003,injured,unprovoked,boarding
2003,injured,unprovoked,boarding
2003,injured,provoked,swimming
2003,injured,provoked,swimming
2003,injured,provoked,spearfishing
2003,uninjured,unprovoked,swimming
2004,injured,unprovoked,swimming
2004,uninjured,unprovoked,diving
2004,injured,unprovoked,swimming
2004,injured,unprovoked,swimming
2004,injured,provoked,spearfishing
2004,uninjured,provoked,diving
2004,injured,provoked,spearfishing
2004,injured,unprovoked,snorkelling
2004,injured,unprovoked,snorkelling
2004,injured,provoked,spearfishing
2004,injured,unprovoked,diving
2004,injured,unprovoked,snorkelling
2004,uninjured,provoked,diving
2004,injured,unprovoked,boarding
2004,injured,unprovoked,diving
2004,fatal,unprovoked,boarding
2004,injured,provoked,spearfishing
2004,uninjured,unprovoked,boarding
2004,uninjured,provoked,snorkelling
2004,injured,unprovoked,boarding
2004,injured,unprovoked,boarding
2004,fatal,provoked,spearfishing
2004,fatal,unprovoked,boarding
2005,uninjured,provoked,spearfishing
2005,injured,unprovoked,swimming
2005,uninjured,unprovoked,boarding
2005,fatal,unprovoked,snorkelling
2005,injured,provoked,spearfishing
2005,uninjured,unprovoked,boarding
2005,injured,provoked,spearfishing
2005,fatal,unprovoked,diving
2005,uninjured,unprovoked,boarding
2005,injured,unprovoked,boarding
2005,uninjured,unprovoked,boarding
2005,injured,unprovoked,boarding
2005,injured,unprovoked,boarding
2005,injured,unprovoked,boarding
2005,uninjured,unprovoked,diving
2005,injured,provoked,spearfishing
2006,fatal,unprovoked,swimming
2006,injured,provoked,spearfishing
2006,injured,unprovoked,other: standing in water
2006,uninjured,unprovoked,boarding
2006,injured,unprovoked,boarding
2006,injured,provoked,diving
2006,uninjured,provoked,spearfishing
2006,injured,unprovoked,boarding
2006,uninjured,provoked,spearfishing
2006,injured,unprovoked,boarding
2007,uninjured,unprovoked,boarding
2007,injured,provoked,diving
2007,injured,unprovoked,boarding
2007,injured,unprovoked,boarding
2007,injured,unprovoked,swimming
2007,injured,unprovoked,swimming
2007,injured,provoked,swimming
2007,injured,unprovoked,boarding
2007,injured,unprovoked,diving
2007,uninjured,unprovoked,boarding
2007,injured,provoked,swimming
2007,injured,provoked,spearfishing
2007,injured,unprovoked,boarding
